,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
1558,c,1,2,h,h,c,h,7,8,[2]
1559,c,1,h,3,4,5,6,h,c,[4]
1560,c,c,h,h,4,5,6,h,8,"[4, 5, 6, 8]"
1561,0,1,2,c,h,h,c,7,8,[0]
1562,h,1,2,h,4,h,c,c,8,[8]
1563,h,1,h,c,h,c,6,c,8,"[1, 6, 8]"
1564,c,h,h,c,c,h,6,7,8,"[6, 8]"
1565,c,h,2,3,4,5,c,h,h,[3]
1566,h,c,h,h,c,5,6,7,8,[7]
1567,0,1,2,3,h,c,6,7,h,[0]
1568,c,c,2,h,4,h,6,7,8,[2]
1569,c,h,2,c,4,5,6,7,h,[6]
1570,c,h,c,3,h,5,h,c,8,"[3, 5, 8]"
1571,c,h,h,h,4,h,6,c,c,"[4, 6]"
1572,0,h,c,3,4,5,h,c,h,"[0, 3, 4]"
1573,0,c,2,3,h,5,c,h,h,[0]
1574,h,c,h,3,4,c,c,7,h,[4]
1575,h,h,2,c,4,h,c,7,c,[7]
1576,0,1,2,c,4,5,6,7,h,[6]
1577,0,h,c,3,4,5,6,h,8,[4]
1578,0,h,h,c,4,5,6,c,8,[0]
1579,c,c,h,h,c,c,6,h,h,[6]
1580,c,h,c,h,4,5,6,7,8,"[4, 8]"
1581,0,h,c,h,c,5,6,7,8,[6]
1582,0,1,2,h,h,c,6,7,8,"[0, 2, 6, 8]"
1583,0,c,c,h,4,h,c,h,h,"[0, 4]"
1584,0,1,c,h,c,h,6,7,8,[6]
1585,h,1,2,3,c,h,h,7,c,[3]
1586,h,1,2,3,h,5,c,7,8,[8]
1587,0,1,h,h,c,c,6,7,h,"[0, 1, 6, 7]"
1588,h,c,h,3,c,5,6,7,h,[7]
1589,h,1,c,3,c,h,6,7,8,[6]
1590,h,h,c,c,4,5,h,7,8,[5]
1591,c,h,h,h,4,c,6,7,8,"[4, 6, 7]"
1592,0,1,h,h,c,h,6,7,c,[0]
1593,h,c,h,c,4,c,h,7,8,[4]
1594,0,1,h,3,c,h,c,h,8,[8]
1595,h,1,c,c,4,5,6,h,h,"[1, 4, 5, 6]"
1596,0,h,2,h,c,5,c,7,h,[2]
1597,0,c,h,h,h,5,6,c,8,"[0, 5, 6, 8]"
1598,c,1,c,h,4,h,h,h,c,"[1, 4]"
1599,0,h,h,3,4,c,c,7,8,[0]
1600,c,h,c,3,c,h,h,h,8,[8]
1601,h,c,h,h,c,c,c,h,8,[8]
1602,0,1,h,3,c,c,h,7,8,[3]
1603,h,c,c,3,4,h,h,7,8,[3]
1604,c,h,c,c,4,5,6,h,h,[6]
1605,0,h,c,c,4,5,h,h,8,"[0, 4, 5, 8]"
1606,h,c,2,c,4,h,6,c,h,[4]
1607,h,h,c,c,c,h,h,7,8,"[7, 8]"
1608,0,1,2,h,4,c,h,7,8,[0]
1609,c,c,2,h,h,5,h,7,c,[2]
1610,h,c,2,c,h,5,c,h,8,[8]
1611,0,h,h,3,c,5,c,7,h,"[0, 3, 5, 7]"
1612,0,h,h,3,c,c,6,h,c,"[0, 3]"
1613,0,1,2,c,4,h,h,7,8,"[2, 8]"
1614,0,1,2,3,h,5,6,7,8,"[0, 2, 6, 8]"
1615,0,c,2,3,h,c,h,h,c,[2]
1616,0,c,2,c,h,5,6,7,h,[0]
1617,c,1,2,c,4,5,h,7,h,[7]
1618,0,1,h,3,c,c,c,h,h,[3]
1619,c,h,c,c,c,h,6,h,h,[6]
1620,0,1,h,h,4,c,6,7,c,"[0, 6]"
1621,h,h,2,3,c,c,6,h,8,[3]
1622,h,c,c,h,c,5,6,7,h,"[6, 7]"
1623,h,1,2,h,c,5,c,7,h,[2]
1624,0,c,h,3,c,5,c,h,h,[5]
1625,0,c,2,3,4,h,6,h,8,"[6, 8]"
1626,h,1,h,3,4,c,c,7,8,[1]
1627,c,h,h,c,4,c,h,c,h,[4]
1628,c,h,2,3,c,h,c,7,h,"[2, 3]"
1629,h,1,2,3,h,c,6,7,8,[8]
1630,h,h,c,c,c,5,h,c,h,[5]
1631,0,1,2,c,h,c,c,h,h,[0]
1632,c,1,c,c,h,h,h,c,h,[1]
1633,c,h,2,3,h,h,c,7,8,[3]
1634,h,h,c,h,h,5,6,c,c,"[5, 6]"
1635,0,c,c,h,h,c,6,h,h,[0]
1636,h,1,2,3,c,5,c,h,8,[2]
1637,0,1,2,c,h,c,h,7,h,"[0, 1, 2, 7]"
1638,c,h,2,h,h,5,6,c,c,[6]
1639,c,1,h,c,h,h,6,h,c,[6]
1640,c,1,c,h,4,h,c,7,h,"[1, 4]"
1641,0,1,c,h,4,h,h,c,8,"[0, 1, 4, 8]"
1642,0,c,h,h,h,c,6,c,8,[6]
1643,0,1,2,h,4,c,c,7,h,"[0, 1, 2, 4, 7]"
1644,0,c,2,3,4,5,h,h,8,[8]
1645,0,c,2,3,4,h,h,7,c,"[0, 4]"
1646,c,1,2,h,4,h,6,7,8,[4]
1647,0,1,h,3,c,5,h,7,c,[0]
1648,0,1,c,h,4,h,h,7,c,"[0, 1, 4, 7]"
1649,c,h,2,h,4,h,c,h,c,[4]
1650,0,c,2,h,c,5,h,7,8,[7]
1651,c,c,h,3,4,5,6,7,h,[5]
1652,0,1,h,3,4,c,c,7,h,[3]
1653,0,1,2,3,4,h,6,c,h,[2]
1654,h,h,c,h,h,5,c,7,c,"[5, 7]"
1655,0,1,2,c,c,h,h,c,h,[1]
1656,c,1,2,h,h,5,c,7,8,[5]
1657,h,c,c,h,4,h,6,h,c,"[4, 6]"
1658,h,1,c,h,c,c,6,7,h,[6]
1659,c,1,2,h,c,5,6,h,h,[6]
1660,c,1,2,h,h,c,h,h,c,[2]
1661,c,h,2,h,4,5,c,7,h,"[4, 5]"
1662,0,1,c,3,h,5,c,7,h,[0]
1663,h,c,2,c,h,h,6,7,c,"[2, 6, 7]"
1664,c,c,h,c,c,h,h,h,8,[8]
1665,0,c,2,c,h,h,c,h,h,[0]
1666,0,c,c,h,h,5,h,c,8,[0]
1667,0,h,c,c,4,5,h,c,h,"[0, 4, 5]"
1668,c,h,c,h,c,c,h,h,8,[8]
1669,c,1,h,h,4,5,6,7,c,[4]
1670,0,c,c,3,c,h,6,h,h,"[0, 6]"
1671,0,1,h,3,c,5,6,7,8,"[0, 1, 3, 5, 6, 7, 8]"
1672,c,1,2,h,h,5,h,7,c,"[1, 2, 5, 7]"
1673,c,c,h,3,4,h,6,7,8,[8]
1674,h,c,2,3,h,5,c,h,c,"[2, 3, 5]"
1675,0,1,c,3,4,5,h,h,8,[8]
1676,0,1,2,c,h,5,h,7,8,[2]
1677,0,h,2,c,4,5,6,7,8,"[0, 4]"
1678,h,1,c,c,h,h,c,h,8,"[1, 8]"
1679,c,h,h,h,4,c,6,h,c,[4]
1680,h,c,c,3,4,h,6,c,h,[4]
1681,0,c,2,3,h,5,h,7,8,[2]
1682,0,1,2,h,c,5,h,h,c,[0]
1683,0,1,h,3,4,5,6,7,c,"[0, 6, 7]"
1684,0,1,2,c,h,5,6,c,h,[0]
1685,0,h,2,h,c,h,6,c,c,"[0, 6]"
1686,0,c,2,h,4,5,6,7,8,"[0, 4]"
1687,0,h,h,3,c,c,h,c,h,[3]
1688,0,c,c,3,4,h,h,h,8,[0]
1689,h,h,2,3,c,5,h,c,8,"[2, 3, 5, 8]"
1690,0,1,2,3,4,c,h,c,h,[4]
1691,0,c,h,h,c,c,h,h,8,"[0, 8]"
1692,c,1,h,3,4,c,h,h,c,[4]
1693,0,1,h,c,h,h,c,7,8,[0]
1694,c,h,2,h,h,c,6,7,8,[7]
1695,c,1,c,h,h,5,c,7,h,[1]
1696,0,h,2,c,4,c,h,c,h,[4]
1697,0,h,2,h,h,5,c,7,c,[7]
1698,0,1,c,h,c,h,6,7,h,[6]
1699,0,c,2,3,4,5,h,c,h,[4]
1700,c,1,c,c,h,5,6,h,h,"[1, 6]"
1701,h,h,2,c,4,c,h,h,c,"[2, 4]"
1702,h,h,2,3,c,5,h,7,c,"[2, 3, 5, 7]"
1703,h,h,c,3,4,5,6,c,h,[4]
1704,c,1,2,h,h,5,6,7,8,[5]
1705,h,c,2,3,4,h,c,c,h,[4]
1706,0,1,c,3,4,h,6,7,8,"[0, 1, 4]"
1707,c,h,c,3,4,h,c,7,h,"[3, 4]"
1708,h,1,2,c,4,c,h,7,h,[4]
1709,c,1,2,3,h,5,h,h,c,"[1, 2, 3, 5]"
1710,h,c,2,3,h,c,6,7,8,[8]
1711,h,c,h,3,4,5,c,h,8,"[4, 5, 8]"
1712,c,c,h,h,4,5,c,h,8,"[4, 5, 8]"
1713,0,c,h,h,c,5,h,7,c,"[0, 7]"
1714,0,h,2,3,4,5,h,7,c,[2]
1715,h,c,c,h,h,5,6,h,c,[5]
1716,0,1,2,h,4,5,h,7,c,[0]
1717,h,c,h,h,c,5,c,7,8,[7]
1718,0,h,h,c,4,5,6,7,8,[0]
1719,c,h,2,c,c,h,h,c,h,[2]
1720,c,1,2,h,4,c,h,h,c,"[2, 4]"
1721,c,1,2,3,h,5,6,7,h,"[2, 6]"
1722,h,c,2,3,4,5,h,h,c,[3]
1723,h,1,h,3,4,5,6,c,8,[1]
1724,0,c,c,3,h,h,c,h,h,[0]
1725,h,1,2,3,h,5,6,c,c,[6]
1726,h,c,h,3,c,h,6,7,c,[7]
1727,h,1,c,3,c,5,h,c,h,[1]
1728,0,1,h,3,c,5,h,c,8,[1]
1729,0,c,h,3,h,c,c,h,8,"[0, 3, 8]"
1730,c,h,c,h,h,c,h,c,8,[8]
1731,0,1,h,h,c,c,c,7,h,"[0, 1, 7]"
1732,0,1,2,3,c,h,c,h,h,[2]
1733,h,1,h,3,c,c,6,7,8,[3]
1734,0,c,h,h,4,c,6,c,h,[4]
1735,0,c,c,3,h,h,h,c,h,[0]
1736,h,c,h,3,h,c,c,7,8,[8]
1737,c,1,h,3,4,5,h,7,c,[4]
1738,0,1,2,3,4,5,h,c,8,"[0, 2, 3, 4]"
1739,c,h,2,h,4,c,h,h,c,"[2, 4]"
1740,h,c,c,3,4,5,6,7,h,[4]
1741,c,1,2,3,h,c,h,7,8,[2]
1742,h,1,2,3,c,5,c,h,h,[2]
1743,0,h,h,3,4,c,6,c,h,[0]
1744,0,c,2,h,4,h,c,h,8,[4]
1745,0,c,h,h,c,5,6,7,8,[7]
1746,0,h,2,3,4,5,6,7,8,"[0, 2, 4, 7]"
1747,h,h,2,3,4,5,6,c,8,[2]
1748,h,c,2,h,h,c,c,h,c,[2]
1749,0,h,h,h,c,c,c,h,c,[0]
1750,h,h,2,3,4,5,6,7,c,[2]
1751,h,h,c,c,h,5,6,7,c,[5]
1752,0,1,h,c,h,c,6,c,h,"[0, 1, 6]"
1753,c,1,c,3,h,h,h,c,8,[1]
1754,c,1,c,3,4,h,h,7,h,[1]
1755,h,1,c,h,h,5,6,c,c,"[5, 6]"
1756,h,c,c,c,h,h,c,h,8,[8]
1757,c,h,2,h,c,h,c,7,8,"[2, 8]"
1758,0,1,c,h,h,5,6,c,8,[5]
1759,c,1,h,h,4,5,c,h,8,"[4, 5]"
1760,c,1,2,h,h,5,h,c,8,"[1, 2, 5, 8]"
1761,0,h,h,c,h,c,6,7,8,"[0, 6, 7, 8]"
1762,0,c,h,3,c,5,6,7,h,[7]
1763,0,c,h,c,h,5,6,c,h,"[0, 5, 6]"
1764,h,c,2,c,4,5,h,7,8,[4]
1765,0,c,2,h,h,5,c,h,c,[5]
1766,h,c,2,h,c,h,c,7,8,"[2, 7]"
1767,c,h,h,3,h,5,6,c,8,[6]
1768,h,1,h,h,c,c,c,h,c,[1]
1769,0,c,h,c,c,h,h,7,8,[7]
1770,h,c,2,3,c,h,h,7,c,[7]
1771,0,h,2,3,c,5,6,c,h,"[0, 2, 3, 5]"
1772,0,c,c,h,h,5,h,c,h,[0]
1773,h,1,2,c,4,5,6,h,8,[4]
1774,h,c,c,c,c,h,h,7,h,[7]
1775,c,h,h,c,4,5,6,h,8,[6]
1776,c,1,2,h,4,h,c,7,8,[4]
1777,0,1,h,h,c,5,h,c,c,"[0, 1]"
1778,h,1,c,h,4,h,6,7,c,"[1, 4, 6, 7]"
1779,h,1,2,h,h,5,6,c,c,[6]
1780,h,h,2,c,h,c,6,c,8,"[2, 6, 8]"
1781,c,1,c,3,h,5,c,h,h,"[1, 3]"
1782,0,1,h,3,c,h,6,c,8,[1]
1783,c,1,c,h,h,c,h,7,h,[1]
1784,h,1,c,h,h,5,c,c,8,[8]
1785,h,c,c,h,4,h,c,h,c,[4]
1786,0,h,2,c,4,5,6,7,h,[4]
1787,0,1,2,c,c,5,h,7,h,[5]
1788,0,c,2,3,h,5,6,7,8,"[0, 2, 3, 5, 6, 8]"
1789,0,1,h,c,h,5,6,7,8,[6]
1790,0,h,h,h,c,c,6,c,h,[0]
1791,0,1,2,c,4,5,6,h,h,[6]
1792,0,h,2,c,h,c,6,7,8,[7]
1793,c,1,2,c,h,5,h,c,h,[2]
1794,h,h,c,3,c,5,6,7,8,[6]
1795,c,h,c,h,c,h,6,c,h,[6]
1796,c,h,c,h,4,5,6,h,8,[4]
1797,h,c,2,3,4,h,6,7,8,[4]
1798,0,1,h,c,4,h,h,c,c,[4]
1799,h,1,2,3,4,5,6,7,c,"[2, 6]"
1800,h,h,2,3,4,c,h,7,c,[2]
1801,0,h,2,3,h,c,6,7,8,[7]
1802,h,1,h,h,c,5,c,7,c,[7]
1803,0,1,c,c,4,5,h,h,8,[8]
1804,0,h,c,h,4,h,c,7,c,"[4, 7]"
1805,0,1,c,3,4,h,6,7,h,"[0, 1]"
1806,h,c,h,c,4,c,h,h,8,[4]
1807,0,h,c,h,h,c,6,7,8,[8]
1808,0,h,c,3,c,c,h,h,8,"[3, 8]"
1809,0,1,c,c,c,h,h,h,8,[8]
1810,0,1,2,h,h,c,h,7,c,[2]
1811,c,h,2,h,c,5,h,c,h,"[2, 5]"
1812,0,h,h,c,c,h,c,7,8,[0]
1813,0,1,h,3,c,c,h,h,8,[3]
1814,c,1,2,3,4,h,6,h,c,[4]
1815,0,c,h,h,h,5,c,h,c,[5]
1816,h,1,c,3,4,c,h,7,h,"[1, 3, 4, 7]"
1817,c,h,c,h,4,h,h,c,8,[4]
1818,c,c,2,h,h,5,h,h,c,[2]
1819,h,c,c,c,4,h,6,7,h,[4]
1820,0,h,c,3,4,5,6,c,h,"[0, 3, 4, 5, 6]"
1821,0,1,h,c,4,h,6,7,8,[8]
1822,c,h,c,3,h,c,h,7,8,[8]
1823,h,c,h,c,h,c,6,7,8,"[6, 7, 8]"
1824,c,h,c,3,4,h,6,7,8,"[4, 6]"
1825,0,h,h,h,4,c,c,h,c,"[0, 4]"
1826,0,1,h,h,4,c,6,h,c,"[0, 1, 4, 6]"
1827,0,c,h,3,h,c,c,h,h,[0]
1828,0,h,2,3,c,h,c,c,h,[2]
1829,0,c,h,c,h,5,c,h,8,[0]
1830,h,c,2,3,c,h,6,7,h,[7]
1831,0,h,2,c,c,h,h,7,8,"[2, 8]"
1832,c,c,h,c,4,5,h,7,h,"[4, 5, 7]"
1833,0,1,2,c,h,h,c,c,h,[0]
1834,0,c,c,h,h,5,c,h,8,[0]
1835,c,1,2,3,h,c,h,7,h,"[1, 2, 3, 7]"
1836,0,h,2,3,h,c,h,7,c,[2]
1837,0,1,h,c,h,5,c,7,h,[0]
1838,h,h,2,3,c,c,h,c,h,[3]
1839,c,1,c,h,4,h,c,h,h,"[1, 4]"
1840,c,h,c,c,4,h,h,7,8,"[4, 7, 8]"
1841,h,1,h,c,4,5,h,7,c,"[1, 4, 5, 7]"
1842,0,h,c,h,4,5,h,c,c,[5]
1843,0,1,2,h,4,c,c,h,h,"[0, 1, 4]"
1844,0,c,2,3,h,h,6,7,8,[3]
1845,h,c,2,3,h,h,c,7,8,"[2, 3, 7, 8]"
1846,c,c,2,h,h,5,c,7,h,[2]
1847,h,c,c,3,h,h,6,h,c,[3]
1848,c,c,h,3,4,5,6,h,h,"[3, 4, 5, 6]"
1849,c,1,2,3,4,c,6,h,h,[6]
1850,0,1,2,3,c,h,6,h,8,"[2, 6, 8]"
1851,0,h,c,3,h,5,c,7,8,[7]
1852,0,1,2,3,c,c,6,h,h,[3]
1853,0,h,c,3,4,c,h,c,h,"[0, 3, 4]"
1854,c,1,2,3,4,h,h,c,8,"[1, 4]"
1855,0,h,2,h,c,c,h,7,c,"[0, 2]"
1856,c,h,2,h,4,5,6,c,h,"[2, 4, 5]"
1857,h,h,c,3,4,5,6,7,8,"[5, 8]"
1858,0,c,h,c,4,h,h,7,8,"[0, 4, 7, 8]"
1859,c,c,h,h,4,c,h,h,8,"[4, 8]"
1860,h,c,2,c,4,5,h,7,h,"[2, 4, 5, 7]"
1861,h,c,2,h,c,h,c,7,h,"[2, 7]"
1862,0,h,c,3,h,c,c,7,h,"[0, 3, 7]"
1863,0,h,h,h,4,5,c,7,c,[7]
1864,0,1,c,3,h,5,c,h,h,"[0, 1, 3, 5]"
1865,0,1,2,h,c,5,6,h,8,"[0, 6, 8]"
1866,c,1,h,3,c,5,h,7,8,[8]
1867,h,1,c,c,h,h,6,7,c,"[1, 6, 7]"
1868,0,h,c,h,4,5,c,h,8,[4]
1869,h,c,c,3,4,h,h,h,c,[3]
1870,0,c,h,c,c,5,6,h,h,[5]
1871,0,1,c,3,h,5,h,h,c,[5]
1872,0,h,h,3,4,c,c,c,h,[0]
1873,h,h,2,3,4,5,c,c,8,[8]
1874,0,h,c,h,c,h,h,7,c,[0]
1875,h,c,h,c,h,h,6,c,c,[6]
1876,0,1,h,3,c,5,6,h,8,"[3, 5, 6, 8]"
1877,c,c,h,h,4,5,h,7,c,[4]
1878,c,1,2,h,4,h,c,7,h,"[1, 2, 4, 7]"
1879,0,c,2,h,c,h,6,7,8,[7]
1880,h,h,2,3,4,5,c,7,c,[7]
1881,0,1,h,3,4,h,6,c,8,[8]
1882,0,h,c,h,4,c,6,h,8,[8]
1883,h,h,c,c,h,h,6,7,c,[7]
1884,c,h,c,h,c,c,6,h,h,[6]
1885,h,h,c,3,h,5,6,7,c,[5]
1886,h,h,c,c,4,5,6,7,8,"[4, 5]"
1887,h,1,2,3,4,5,c,h,8,"[1, 4]"
1888,c,h,c,c,h,h,h,7,c,[7]
1889,h,1,c,3,4,5,6,h,8,[8]
1890,0,1,2,h,4,5,c,7,h,"[4, 5]"
1891,h,1,h,3,c,5,h,c,c,[1]
1892,h,c,2,h,h,5,6,c,c,[6]
1893,c,h,h,3,c,5,c,7,h,[3]
1894,h,h,2,h,c,c,c,h,c,[2]
1895,h,1,c,h,c,h,6,h,c,[6]
1896,0,c,2,3,h,5,6,7,h,[0]
1897,c,1,2,3,4,5,c,h,h,[3]
1898,h,h,2,c,c,h,c,7,h,[2]
1899,0,1,h,h,4,5,c,c,h,[5]
1900,0,h,h,c,h,5,c,7,c,"[0, 7]"
1901,h,c,c,3,h,h,h,c,8,"[3, 8]"
1902,h,h,c,3,4,5,c,7,h,[4]
1903,c,h,2,h,h,c,c,7,8,[7]
1904,h,1,c,c,h,c,h,h,8,[8]
1905,0,c,2,h,4,5,6,h,8,"[6, 8]"
1906,0,h,2,h,c,h,c,c,8,"[2, 8]"
1907,0,c,c,h,c,h,h,h,c,[0]
1908,h,1,c,3,4,h,h,c,8,[3]
1909,c,c,h,3,4,5,h,7,8,[4]
1910,0,h,2,c,h,5,c,7,h,[0]
1911,h,1,h,c,4,c,h,7,8,[4]
1912,0,1,c,h,c,5,h,h,c,"[0, 5]"
1913,0,1,2,3,c,h,6,c,h,[1]
1914,c,1,c,3,h,5,6,7,h,[1]
1915,0,h,2,h,c,c,c,h,8,[2]
1916,c,c,h,3,h,5,6,7,8,[6]
1917,h,h,c,h,c,5,6,7,8,[6]
1918,h,h,c,3,c,h,h,7,c,[3]
1919,h,1,2,c,4,h,6,7,8,"[2, 8]"
1920,h,h,c,3,h,5,c,7,8,"[3, 5, 7, 8]"
1921,h,c,2,3,h,c,6,h,8,[8]
1922,0,c,c,3,h,c,6,h,h,[0]
1923,c,1,h,3,4,5,6,7,8,"[3, 6, 8]"
1924,0,c,h,3,4,c,h,7,h,"[0, 3, 4, 7]"
1925,h,c,h,h,c,5,c,h,8,"[5, 8]"
1926,h,1,2,h,4,h,c,7,c,[7]
1927,h,1,2,c,c,h,6,7,h,[2]
1928,0,1,c,h,4,5,c,h,8,[4]
1929,h,1,h,c,4,h,6,7,c,[1]
1930,h,1,c,3,h,5,6,h,c,[5]
1931,0,1,c,3,4,h,h,7,c,[0]
1932,0,h,c,c,4,c,6,h,h,[4]
1933,c,h,c,3,4,h,6,7,h,[6]
1934,h,c,c,h,4,5,6,7,8,[6]
1935,c,c,h,h,h,5,c,c,h,[5]
1936,h,c,2,c,c,h,h,h,8,[8]
1937,h,1,c,c,h,h,h,c,8,[8]
1938,h,h,c,c,4,5,h,c,8,[5]
1939,h,h,c,h,h,c,6,c,8,[8]
1940,h,c,2,3,c,h,6,h,8,"[6, 8]"
1941,0,h,h,c,4,5,h,7,c,"[0, 4, 5, 7]"
1942,h,h,c,3,c,c,h,h,8,"[3, 8]"
1943,0,1,c,3,4,h,c,7,h,[4]
1944,h,1,2,3,c,5,6,7,8,"[1, 2, 3, 5, 6, 7, 8]"
1945,c,1,2,3,h,h,c,7,8,[3]
1946,0,c,c,h,4,c,h,7,h,[0]
1947,0,1,2,h,4,h,6,7,c,[4]
1948,c,1,c,h,4,h,h,7,8,[1]
1949,c,h,c,c,4,h,h,7,h,[7]
1950,h,c,h,3,4,c,6,7,8,[4]
1951,0,1,2,c,4,5,h,7,h,[7]
1952,h,h,2,h,c,5,6,c,c,[6]
1953,c,1,c,c,4,h,6,h,h,"[1, 6]"
1954,0,h,h,3,c,c,6,7,8,[3]
1955,h,1,2,c,4,5,c,7,h,[4]
1956,c,h,h,c,h,5,6,7,8,[6]
1957,0,h,h,3,4,h,c,7,c,[7]
1958,c,h,2,h,c,h,c,h,8,"[2, 8]"
1959,h,1,2,c,4,5,h,7,c,[5]
1960,0,c,2,c,h,5,c,h,h,[0]
1961,0,1,2,3,c,5,h,7,h,[7]
1962,0,1,2,h,c,h,h,c,8,[1]
1963,h,c,h,3,c,h,c,h,8,[8]
1964,h,1,c,c,4,5,h,h,c,[5]
1965,h,1,h,3,c,h,h,c,c,[1]
1966,c,c,h,h,h,c,6,c,h,[6]
1967,h,1,2,3,h,c,6,c,8,[8]
1968,0,h,2,h,4,c,c,7,h,"[0, 4]"
1969,0,1,2,c,h,h,6,7,c,[6]
1970,h,1,h,3,c,c,h,c,8,"[1, 3]"
1971,h,1,2,3,4,c,6,7,h,[4]
1972,0,c,2,h,h,5,6,7,8,[5]
1973,h,1,h,c,c,h,h,c,c,[1]
1974,0,1,h,3,c,h,h,c,8,[1]
1975,h,c,h,3,4,c,h,h,c,"[3, 4]"
1976,0,1,h,h,4,5,c,7,c,[7]
1977,0,1,h,c,c,5,6,7,h,[5]
1978,0,1,c,3,c,h,h,7,8,"[0, 1]"
1979,c,1,h,3,c,5,h,7,h,"[1, 3, 5, 7]"
1980,c,h,c,h,4,h,6,7,c,[4]
1981,h,1,h,c,h,h,c,7,c,[7]
1982,0,h,h,h,4,c,6,c,8,[0]
1983,c,c,2,h,4,h,h,7,c,"[2, 4]"
1984,0,1,c,3,4,c,h,7,h,[7]
1985,c,1,h,h,h,5,c,c,h,[5]
1986,0,1,h,c,4,h,6,c,8,[8]
1987,h,c,h,3,c,c,c,h,h,[3]
1988,0,c,h,3,4,5,6,h,8,"[6, 8]"
1989,h,1,h,c,c,5,h,7,8,[5]
1990,h,h,2,c,4,c,6,h,c,"[2, 4]"
1991,0,c,c,3,c,h,h,7,h,"[0, 7]"
1992,c,1,h,h,h,c,6,h,c,"[1, 6]"
1993,0,h,c,c,h,h,c,7,h,[0]
1994,c,1,2,3,4,h,h,7,8,[2]
1995,h,h,2,h,4,5,c,c,8,[8]
1996,0,h,c,3,h,5,6,c,8,[8]
1997,h,c,c,h,4,h,6,7,8,"[4, 6, 7, 8]"
1998,0,h,c,c,c,h,h,c,h,[0]
1999,0,1,c,h,h,c,6,7,8,[8]
